#Parameters = {a_mcp_space=3.85; anode=600; anode_pot=0; anode_thickness=20; back=1; cathode=-200; coax_core=17; coax_length=320; cut_off_set=-10; e_thickness=0.04; elecrode_thickness=1; end_spoil_size=10; insulator_core=57; max_frequency_range=25; mcp_angle=-10; mcp_mid_pot=-2201; mcp_spacing=7.7; mirror=200; number_of_pores=1; o_mcp_space=6.6683956091402; off_set=5; open_area_ratio=0.35241977864696; pix_block=360; pore_gap=8; pore_radius=2.4; pore_size=200; res_block=150; res_length_n=195; res_length_p=6; small_number=0.0008; spoil_thickness=0.5; square_block=237.7; time_step=0.001}
#"Position x"	"pic 2d monitor 2 convert to 1D [Real Part]"
#---------------------------------------------------------
-308.65197186358	-9.4926617748570
-274.93288507685	-20.566807506839
-296.19553242810	13.207508345658
-259.68602858484	-13.672507520823
-276.58004546538	-1.0101358611791
-292.98011213541	-5.6688973018026
-296.82560125366	-2.1121525151102
-284.99087784439	-6.9012694439152
-276.28126554191	-19.128618077957
-265.63100982457	19.130442524329
-281.76451451145	-16.249081454589
-272.39718474448	-12.171860362287
-264.94250050746	2.0713960111607
-229.72599253990	-19.149159925291
-285.27688118629	14.278807611845
-238.59160137363	-14.074477803661
-302.14205617085	3.1401007163367
-257.64701422304	-9.4727602117928
-277.02274383046	-5.8227660701959
-226.95677762386	-50.292535888730
-265.78275719658	-19.632436305983
-229.26871315576	-24.254504751298
-277.35796174966	-17.864909750642
-246.92053557374	-4.8014990170486
-227.81173174735	-27.908747142647
-297.43683990091	2.2185647594597
-251.76492636092	-12.757433069055
-257.94352404773	-28.213064069860
-269.05225240625	-1.4140217672320
-260.48673316836	-18.423283108859
-280.69107793272	-8.6253367044265
-286.27502615564	0.45912591417618
-227.61791478842	-17.098987882491
-229.84857787378	-26.523868655204
-255.27068646625	-15.908592104097
-254.06022905372	-21.085668777232
-242.48156114481	-26.901043383987
-292.14323149063	-5.1533620535338
-223.54142856784	-18.297003407497
-294.43300445564	-20.412067897269
-278.76184321940	-15.393336070701
-222.72621572483	-21.816051230417
-266.06366736814	-20.378296540002
-284.55330175348	-13.998284885019
-265.52201597951	-18.221533537144
-249.41613082774	-4.3343657125661
-233.74542070087	-20.570636479533
-250.42612105608	-13.967732229503
-249.35719557107	-14.203814316716
-226.08391009271	-23.645494366065
-248.47703753039	-9.5565446827095
-239.66672597453	-18.156100850320
-247.49798467383	-6.1501123127527
-241.66780349333	-28.082444259781
-244.09040634055	-21.709474822273
-237.56291193422	24.291724912473
-244.94892568328	-25.505005396553
-216.27028763760	-21.752193788416
-235.59955297969	-15.926178093650
-252.18378868885	-8.5986657722970
-153.89258624055	26.286825232091
-261.37725217268	-19.336996047059
-243.41627431568	-5.3747489801026
-270.84778412245	-16.177864381461
-232.99120948650	-22.330548745231
-144.86272993963	-46.003693569219
-232.74899285752	-23.729657186777
-236.04511807207	-25.756355171325
-213.09099975042	-25.279698093073
-231.19384422898	-33.429820177844
-211.92642452661	-17.443357137381
-163.88900985476	22.187086869962
-242.62460647151	30.497603802360
-242.93597380165	18.521117453929
-241.66610091925	-31.003197364043
-199.77518240921	-42.723702790681
-242.80745128635	-28.660964744631
-236.79023433942	-15.494133549510
-249.29153732956	-13.920574019721
-282.08334697410	-19.396054995013
-245.76147552580	-25.034458303708
-268.57265038416	-23.976272132131
-236.36169498786	-9.3098797151470
-228.13008399680	-25.291266865679
-257.02454149723	7.4774152380996
-213.08608120307	-31.797510018805
-256.80830003694	-0.68927465690649
-240.19855482038	11.748200449801
-242.77262855321	-8.8046472228598
-212.65438408591	-40.041453758022
-268.63944367506	11.654794434435
-207.75088341907	-29.447588531184
-257.01630511321	-9.6370513347210
-215.20287555177	-27.200616386835
-261.78883854300	4.0577406252851
-239.27114671096	-33.427761081839
-232.34923719428	29.360800908762
-245.13417156413	6.3675884121039
-238.54381288402	-0.28878557145617
-274.63928563520	-16.583420801908
-219.94923008606	-39.876958908280
-228.58401644044	-31.745585147291
-214.46503524203	-35.968336305814
-200.92536578886	-31.202387617668
-224.82356871478	30.304239771794
-182.61813966092	-43.298288801452
-257.22148711793	-21.953303075861
-184.89915237296	-48.448433517478
-241.65243667085	-28.432521503419
-273.08717835695	-1.6565027181059
-215.41173919104	11.688079212036
-248.37808450684	-22.629377781413
-238.60814690124	-12.737074030156
-213.66598957684	-34.902717743535
-207.41057232954	-9.5202076408896
-249.87402139232	-27.205638616579
-275.90960962698	6.3106185734796
-247.92327894829	-14.690944226459
-184.39341511112	-43.686894059647
-224.36096332967	3.8140162814671
-214.56190734170	12.037377018714
-221.33723541629	-23.627419068362
-258.94324062392	-28.639069569181
-208.86753918603	-45.235912693897
-164.74119911436	21.739413568866
-184.23752044328	-26.694104235503
-147.05194917042	-72.129369073082
-226.12887551077	-31.958472391125
-236.87341308687	14.596561413782
-177.92185826693	-45.440345274983
-226.44244018011	-8.3009463196504
-209.89817858208	26.191573851975
-244.13647770416	-35.993343772134
-189.33261162601	-40.900325984694
-221.38089116197	-36.467587051448
-228.68273663335	-36.891644413117
-259.66012617573	3.8500379559991
-175.46603339724	-34.287826565560
-212.59661298245	-17.662243408267
-283.86974008754	-3.0504857022606
-87.910782895051	-71.958223998081
-230.28079885989	-36.378525692271
-263.64938821644	-27.137857614434
-261.85528258793	-28.488448151620
-207.49322720803	-23.405940737575
-235.19739625044	-33.149499358842
-210.82608145662	7.3354472078790
-248.59615950845	-3.5657847092807
-239.59825921338	-9.0489793365123
-158.18589599803	-24.270690119010
-170.16015772242	-61.799117247574
-223.74511172529	-44.606917072087
-228.25703490526	-22.552661903319
-233.71251882054	7.1198455771082
-171.00966942962	-39.895294321468
-194.00268502068	-36.782552342629
-203.55320884846	-24.420585759799
-215.17160348594	16.827110812301
-233.69946575258	-50.436556193745
-239.90352929104	-8.9860095613403
-176.95217684377	-45.494180085370
-233.55509620160	-4.7409039325430
-185.51920948084	-25.908590032486
-256.84590218589	-11.321222700644
-214.15726223495	13.356206181925
-199.31257702410	-37.389880162664
-210.15372476541	-36.014782381244
-238.67427080404	-30.521063308697
-273.04209652357	4.7416915549547
-240.49537023529	-30.052349757170
-212.55965111777	-40.906881622504
-179.14322961587	-35.575732908910
-163.59805886168	-51.085553423036
-237.54188441671	-3.2131522402779
-221.06299002189	-22.521280698129
-197.80325237662	-32.251755328616
-223.26769249048	2.4166211005649
-274.09387985244	-1.6914219713726
-182.35589959659	-33.598484151298
-237.58194583934	-7.0532796598855
-243.52564651053	-42.516934627201
-180.67531345878	-46.286430006148
-254.17900178581	-18.022827134700
-228.36835705675	-16.808256987133
-236.91810201853	12.216810318932
-234.38404605258	7.5859202297579
-186.07686797623	-51.256985898363
-252.97235697508	0.54346526212612
-235.17839144915	-31.451454560738
-237.65381774865	-15.599442122039
-232.89493401535	-1.1883968227266
-202.20002625138	-13.519982530852
-247.07030388527	7.2657421696931
-192.96894606668	27.412679628469
-221.92520555109	-27.078525818070
-209.54592037015	27.380410756450
-245.82818150520	-6.4337637013523
-216.70409478247	-28.797556296922
-212.74226310197	30.193385100574
-179.38064411282	-44.513326429296
-273.86427973397	-18.703101886786
-274.83148733154	-24.073431632132
-174.76540233474	18.485534383217
-266.14929083735	1.1376865813872
-182.73973546457	18.912573068519
-203.87330732774	-37.269746826496
-204.04299721122	-8.8903880168800
-161.71061724890	-61.670260038227
-209.02679534629	-30.691080610268
-131.17745402269	-51.586044719443
-152.43866073433	-56.287957704626
-205.64110309351	-25.244440621464
-242.44001542684	6.1870600802649
-242.23768559750	-29.311529942788
-214.24912847578	9.0634448497440
-248.72718495317	36.342687963042
-203.33782595117	12.089441042917
-250.68162358366	-7.5373368417786
-240.13363872655	-27.601457986748
-205.30786423478	-35.845809179591
-204.74297343753	-34.769960620906
-209.01241805404	8.4841285570292
-174.54491171520	-10.834288332262
-111.50874343002	40.552753489465
-224.99533952214	-38.915281038498
-220.23993369658	8.4273997345008
-239.34432829265	-7.5255907177052
-212.97618513927	-22.154001271701
-167.18736151233	-34.892524126917
-203.19584291428	9.0056664703297
-263.11798137613	-23.596776372869
-151.61500778049	-37.613448512275
-264.22480004840	-4.7166190597636
-202.05833425280	-40.071943658404
-195.96304628067	-32.014570024330
-199.61685757153	-25.192981411237
-220.25970974937	-8.0096051533474
-212.06577366684	-42.652580305003
-259.15377773344	11.580290447455
-241.19096633513	20.721112377942
-123.25993156992	-86.484040366486
-227.51717187930	-12.792348570656
-228.96518930793	-40.055543649942
-215.78176529147	-17.903250409290
-214.37102986965	-29.362085115281
-205.26372827590	-30.911694921087
-252.39808019251	-32.836167520145
-264.36822372489	-2.4486973870808
-184.22112043481	-55.064567277441
-230.45620764606	-8.7584221546422
-244.42156427540	18.830649423762
-157.38200454507	-30.142809919198
-256.93079805933	-32.584644941380
-193.46256158315	-52.243387472117
-176.47945787758	25.772820663406
-250.06147916429	-17.485099306214
-233.55832672678	-8.3184550021542
-212.56842592265	-43.917319999309
-247.45540576987	1.0379175137132
-138.59922182746	-24.979250156321
-173.19574544672	32.576805097051
-234.98926020693	-50.858627218986
-217.44611149188	24.766568458290
-177.55429144017	-4.5080000745656
-84.109728049952	-77.801167208236
-152.07337855827	-57.201825256925
-273.31625460647	-28.344960810500
